BSML,CJL,CS,DS300Z,DS3Z,DS600Z,GJ,GLLYL,HKYH,JC,JS,XRJS,KZX,MD,ND,PL,PSSD,PZS,PZZJ1,PZZJ2,QCJS,QL10F,QXJC,QXQSJS,HJQXZSJ,SHL,YXCD,YXZJ,ZBY,ZGSFSD,ZJSJHJ,ZS1,ZTJJZS, ZTCC,ZTSFSD,ZTSML,ZTYJ,ZY,ZS
0,0,90,,,,180,56.68000031,0,223.6900024,533.1900024,533.1900024,4.7667,1.12,,32,166.9499969,2,,,533.1900024,,,,3,,,,17.5,1.330000043,11.41666,127,19.59000015,216,7.480000019,0,0,120,19.59329633
0,0,90,,,,180,58.29999924,0,769.210022,1302.400024,1302.400024,4.7667,1.12,,32,166.9499969,2,,,1302.400024,,,,6.83333,,,,18,1.330000043,45.91666,127,16.75,216,7.480000019,0,0,120,16.75230781
0,0,90,,,,180,51.81999969,0,223.6400146,1553.219971,1553.219971,4.7667,1.12,,32,140.4700012,2,,,1526.040039,,,,10,,,,16,1.330000043,26,127,8.600000381,216,7.480000019,0,0,140,8.601539025
0,0,90,,,,180,55.06000137,0,46.7800293,1526.040039,1526.040039,3.4028571,1.12,,32,140.4700012,2,,,1600,,,,3.5,,,,17,1.330000043,4.66666,127,10.02000046,216,7.480000019,0,0,140,10.02430631
0,0,90,,,,150,6.070000172,0,17.67993164,1543.719971,1543.719971,3.4028571,1.12,,20,0,,,,1543.719971,,,,15.5,,,,3,0.850000024,2.833333,92,6.239999771,215,5.079999924,0,0,50,6.239976607
0,0,90,,,,150,6.070000172,0,9.5,0,0,3.4028571,1.12,,20,0,,,,1553.219971,,,,6.5,,,,3,0.850000024,1.666666,92,5.699999809,215,5.079999924,0,0,50,5.70000228
3.190000057,573.6799927,97,,,,150,64,0.600000024,369.5,369.5,369.5,,1.05,,58,99.15000153,3,,,369.5,,,,2,,,,7,0.449999988,11.083333,93,33.34999847,444,0.400000006,494.9299927,6.400000095,10,33.33834687
20.62999916,732.9400024,97,,,,150,73.5,1.299999952,1253.150024,1622.650024,1622.650024,4.01234,1.05,,48,147.4400024,2,,,1622.650024,,,,4,,,,16,1.460000038,26.15,78,47.91999817,241,2.319999933,940.7999878,14.69999981,40,47.92160705
16.82999992,682.9400024,97,,,,150,63.11000061,5.010000229,585.1800537,2207.830078,2207.830078,,1.1,,48,129.1000061,2,,,2207.830078,,,,8.41666,,,,17,1.460000038,40.36666,78,14.5,241,2.319999933,767.3599854,11.98999977,40,14.49661809
14.72999954,638.9299927,97,,,,150,61.70999908,6.510000229,354.2700195,2562.100098,2562.100098,,1.16,,48,120.7799988,2,,,2562.100098,,,,10.66666,,,,17,1.460000038,45.35,78,7.809999943,241,2.319999933,671.6199951,10.48999977,40,7.811907818
17.01000023,600.2399902,97,,,,150,61.70999908,8.739999771,127.6999512,2689.800049,2689.800049,,1.16,,48,113.4599991,2,,,2689.800049,,,,14.91666,,,,18,1.460000038,19.43333,78,6.570000172,241,2.319999933,592.9500122,9.260000229,40,6.571182148
11.47999954,568.9000244,97,,,,150,43.04999924,8.819999695,256.1999512,2953.820068,2953.820068,,1.16,,48,106.5999985,2,,,2946,,,,11.41666,,,,17,1.460000038,37.9,78,6.760000229,241,2.319999933,523.2800293,8.180000305,40,6.759893171
10.72999954,559.2000122,97,,,,150,42.43999863,10.35999966,26.17993164,2987.860107,2987.860107,,1.16,,48,100.5100021,2,,,2980,,,,10.33333,,,,18,1.460000038,6.2,78,4.21999979,241,2.319999933,489.230011,7.639999866,40,4.222569619
10.72999954,559.2000122,97,,,,150,42.43999863,10.35999966,27.13989258,3024.120117,3024.120117,,1.23,,48,100.5100021,2,,,3015,,,,8.33333,,,,18,1.460000038,6.35,78,4.400000095,241,2.319999933,489.230011,7.639999866,40,4.273998831
10.90999985,568.3800049,97,,,,150,42,10.72999954,44.87988281,3085.5,3085.5,,1.24,,48,100.5100021,2,,,3069,,,,8.416666,,,,18.5,1.460000038,11.86666,78,3.779999971,241,2.319999933,497.25,7.769999981,40,3.782014721
