BRZYGZ,BSML,BYY,BZ,CJ,CJL,CJSJ,CLFZSJ,CLNJSJ,CS,CY,CZJSJ,CZWT,DC,DS300Z,DS3Z,DS600Z,FSCSJ,FZGZSJ,GJ,GJSJ,GLLYL,HBR,HJQXZSJ,HKYH,HNSJ,HSL,HYSJ,HZTSJ,JC,JDGSJ,JG,JH,JHR,JS,JY,KHYSJ,KZX,LJJC,LJSJ,LXJSYSJ,MBWQS,MD,MMZS,MSZJ,MT,NBHD,ND,PHZ,PL,PSSD,PZS,PZZJ1,PZZJ2,PZZJ3,PZZJ4,PZZJ5,QCJS,QL10F,QTSJ,QXCW,QXDHTZ,QXGJ,QXJC,QXQSJS,QXZSJ,QXZZJS,QYS,RQ,SBR,SCGC,SCSJ,SGSJ,SHL,SHLDDYY,SYSJ,SZDC,SZGSJ,TF,XH,XHNJSJ,XJ,XJ0,XJ1,XLSJ,XRJS,XTGSJ,YXCD,YXMS,YXZJ,ZBR,ZBY,ZCMS,ZGSFSD,ZJSD,ZJSJHJ,ZJSS,ZRTGSJ,ZS,ZS1,ZTBH,ZTCC,ZTCJ,ZTCSSJ,ZTGF,ZTJJZS,ZTLX,ZTSFSD,ZTSML,ZTXH,ZTYJ,ZY,ZZTGSJ,1
,,,,重庆,,,,,98,,9:40,,,,,,,,170,,,,2.666666,,,,,,65.74000549,,9000,巴22,,,,,4.7566667,,,,,1.08,,J2,,,22,,55,,3,,,,,,220,,,,2,,,,2:40,,,,,,,,,,,西域组,,,3,,,,,,154.2599945,,,泥岩,,,18,Z2,,,9.666666,,,6.800690692,117,,444.5,,,,6.800000191,P3,,,O3,,50,,1
,9.109999657,,,江汉,9324,,,,98,,29:30:00,,,,,,,,170,,62,,14.25,0.100000001,,,,,375.1799927,,23500,巴22,,,,,4.7566667,,,,,1.13,,J1,,,26,,62,134,3,,,,,,595.1799927,,,,Y1,,,,14:15,,,,,,,,,,,火焰山,,,4,,,,,,220,,,泥岩,,,18,Z2,0.980000019,,29.5,,,12.71796585,117,,311,,,,12.72000027,J11,1.75999999,692,1,11.19999981,150,,1
,7.71999979,,二号中长喷咀,江汉,8862,,,,98,,54:25:00,,,,,,,,170,,59,,5.5,0.200000003,,,,,165.5599976,,23490,巴22,,,,,4.7566667,,,,,1.29,,J1,,,27,,55.3,119,3,,,,,,760.7399902,,,,Y1,,,,5:30,,,,,,,,,,,齐古组,,,5,,,,,,595.1799927,,,泥岩,,,18,Z2,0.870000005,,54.41666,,,3.042450558,73,,311,,,,3.039999962,J22,1.570000052,586,2,10.60000038,50,,1
,6.920000076,,,江汉,8318,,,,98,,58:40:00,,,,,,,,170,,55,,6.5,0.200000003,,,,,228.8599854,,23490,巴22,,,,,4.7566667,,,,,1.39,,J1,,,83,,52.8,114,3,,,,,,989.5999756,,,,Y1,,,,6:30,,,,,,,,,,,齐古组,,,6,,,,,,760.7399902,,,泥岩,,,18,Z1,0.829999983,,58.66666,,,3.901022921,117,,311,,,,3.900000095,J22,1.5,526,3,10,250,,1
,6.420000076,,,江汉,7969,,,,98,,51:50:00,,,,,,,,170,,50,,9.33333,0.200000003,,,,,210.4000244,,23490,巴22,,,,,4.7566667,,,,,,,J1,,,,,53.8,110,3,,,,,,1200,,,,Y1,,,,9:20,,,,,,,,,,,齐古组,,,7,,,,,,989.5999756,,,泥岩,,,18,Z1,0.850000024,,51.83333,,,4.059164719,117,,311,,,,4.059999943,J22,1.529999971,487,4,9.100000381,250,,1
,10.86999989,,,江汉,6966,,,,98,,12:50,,,,,,,,170,,44,,5.5,3.099999905,,,,,20,,,巴22,,,,,3.9375,,,,,,,J1,,,,,50.3,1.299999952,3,,,,,,1220,,,,Y1,,,,5;30,,,,,,,,,,,七克台,,,8,,,,,,1200,,,泥砂岩,,,18,Z2,2.099999905,,12.833333,,,1.558441599,117,,216,,,,1.559999943,J22,4.380000114,398,5,7.900000095,50,,1
,6.989999771,,,江汉,5327,,,,98,,50:15:00,,,,,,,,180,,31,,4.5,2.700000048,,,,,190,,12850,巴22,,,,,4.7566667,,,,,,,J1,,,,,46.1,87,3,,,,,,1410,,,,Y1,,,,4;30,,,,,,,,,,,三间房,,,9,,,,,,1220,,,泥岩,,,18,Z1,1.919999957,,50.25,,,3.781094527,117,,216,,,,3.779999971,J22,3.920000076,256,6,5.599999905,220,,1
,6.809999943,,,江汉,5197,,,,98,,14:15,,,,,,,,180,,31,,7.16666,2.700000048,,,,,93.7199707,,12850,巴22,,,,,4.7566667,,,,,,,J1,,,,,45,87,3,,,,,,1503.719971,,,,Y1,,,,7:10,,,,,,,,,,,三间房,,,10,,,,,,1410,,,泥岩,,,18,Z1,1.879999995,,14.25,,,6.576840049,117,,216,,,,6.579999924,J22,3.829999924,250,7,5.5,200,,1
,9,,,江汉,5451,,,,98,,27:10:00,,,,,,,,180,,49,,8.5,2.099999905,,,,,139.9400635,,12850,巴22,,,,,3.9375,,,,,,,J1,,,,,37.2,109,3,,,,,,1643.660034,,,,Y1,,,,8:30,,,,,,,,,,,三间房,,,11,,,,,,1503.719971,,,泥沙岩,,,18,Z1,1.549999952,,27.16666,,,5.151169245,117,,216,,,,5.150000095,J22,3.160000086,330,8,8.899999619,200,,1
,9,,第二次下井，柯11井用过,江汉,5451,,,,98,,13:00,,,,,,,,180,,49,,8.666666,2.099999905,,,,,6.779907227,,,巴22,,,,,6.284,,,,,1.35,,J1,,,,,45,109,3,,,,,,1650.439941,,,,Y1,,,,8;40,,,,,,,,,,,三间房,,,12,,,,,,1643.660034,,,灰泥岩,,,18,Z2,1.549999952,,13,,,0.521531325,117,,216,,,,0.519999981,J22,3.160000086,330,9,8.899999619,80,,1
